Model,Category,Word,Instance_ID,Step,Description,Guess
gemma-2-9b-it,Low-Freq Abstract,Aberration,24,0,"It distorts reality, making the familiar seem strange and unsettling. This enigmatic presence can be both captivating and terrifying, leaving observers questioning their own perceptions.  


Let me know if you want to try another round!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,25,0,"It is a shimmering, multifaceted prism that warps and distorts light, creating dazzling but disorienting visions.  Holding it allows the user to peer into alternate realities, though the cost of such knowledge may be dearly paid. 


Let me know if you'd like me to describe another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,26,0,"This entity distorts reality, leaving behind a trail of fractured perceptions and unsettling echoes.  Its touch unravels the fabric of existence, warping time and space to its enigmatic will. 


Let me know if you want me to try describing it in another way!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,27,0,"This enigmatic artifact warps reality around its wielder, bending light and perception to their will.  Its power is both alluring and terrifying, capable of granting incredible feats but also threatening to unravel the very fabric of existence. 


Let me know if you'd like me to describe another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,28,0,"This entity distorts the fabric of reality, causing sight and perception to unravel. Its presence is a creeping unease, a disharmony that whispers of secrets best left unobserved.  


Let me know if you want me to describe another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,29,0,"This enigmatic artifact, a shimmering orb of unknown origin, distorts reality around it, bending light and twisting perceptions. Its presence brings both awe and terror, for its power to alter the very fabric of existence is unmatched.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,30,0,"This entity, often mistaken for a harmless celestial phenomenon, possesses a disturbing and unpredictable nature. Its presence can warp reality, leaving behind fractured landscapes and tormented minds.  


Let me know if you'd like me to describe it in a different way!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,31,0,"This celestial anomaly distorts light from distant objects, creating a visual effect that bends and stretches their appearance.  It acts as a cosmic lens, revealing hidden galaxies and offering insights into the universe's gravitational dance. 


Let me know if you'd like me to describe another astronomical phenomenon!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,32,0,"This artifact warps reality, causing perceived distortions in light and space.  Its unpredictable nature makes it a dangerous and fascinating anomaly to study. 


Let me know if you'd like more descriptions!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,33,0,"This object is a visual phenomenon caused by the bending of light, leading to a distorted image of distant objects. It can be observed in celestial bodies and is a reminder of the complex nature of space-time.  


Let me know if you'd like another hint or want to try guessing! 😊",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,34,0,"This enigmatic anomaly distorts reality, causing objects to appear misplaced and their colors to shift erratically. Its presence can induce disorientation and a sense of profound unease.  


Let me know if you'd like me to describe another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,35,0,"This strange anomaly warps the very fabric of reality around it, twisting light and perception.  Its presence is unsettling, leaving those who encounter it questioning their own sanity and the nature of existence.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,36,0,"This strange entity, a swirling vortex of otherworldly energy, disrupts the very fabric of reality.  Its unpredictable nature and powerful influence can warp space, time, and perception, leaving those who encounter it forever changed. 


Let me know if you'd like more descriptions!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,37,0,"This strange entity distorts reality, making things appear out of place and unpredictable. It thrives on chaos and confusion, leaving a trail of broken logic and shattered perceptions in its wake.  


Let me know if you'd like another attempt!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,38,0,"This enigmatic artifact warps the very fabric of reality, creating unsettling distortions and visual anomalies.  Its presence disrupts the natural order, leaving those who encounter it questioning their own perception of the world.  


Let me know if you'd like to play another round!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,39,0,"This anomalous entity is a spectral manifestation, often appearing as a shimmering distortion in the fabric of reality.  Its presence distorts perception and can induce profound psychological distress in those who encounter it.  


Let me know if you'd like another description!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,40,0,"This enigmatic artifact, seemingly crafted from celestial energies, distorts reality around it. Its presence can cause perception to unravel, leaving those exposed questioning the very nature of their existence.  


Let me know if you'd like another try with a different object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,41,0,"This enigmatic artifact warps the very fabric of reality, causing distortions and disruptions to perception and understanding. Its touch can alter memories, blur boundaries, and unravel the threads of time itself.  


Let me know if you want me to describe another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,42,0,"This celestial phenomenon causes a noticeable shift in the apparent position of distant objects in the sky.  It stems from the unique way light travels through our planet's atmosphere, bending its path as it interacts with the air molecules.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,43,0,"This peculiar artifact distorts reality around it, bending light and twisting perceptions. Its presence can cause disorientation and hallucinations, leaving observers questioning what is real. 


Let me know if you'd like another description!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,44,0,"This peculiar artifact warps reality, causing distortions in the very fabric of space and time around it.  Its presence disrupts normal perception and can lead to unsettling visual and auditory hallucinations.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,45,0,"This celestial anomaly causes distortions in the apparent positions of distant objects, defying our expectations of how they should appear.  Its influence can be seen across the cosmos, impacting the very fabric of our understanding of the universe.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,46,0,"This anomalous entity distorts reality, leaving behind a fragmented and unsettling landscape. Its presence is marked by illogical shifts in space and time, creating a sense of deep unease and disorientation.  


Let me know if you'd like to explore more about this intriguing concept!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,47,0,"This mysterious entity, though seemingly harmless, possesses the power to twist reality itself, warping perceptions and causing unsettling distortions in the world around it. Its influence can manifest in subtle ways, leaving behind a lingering sense of unease and distrust. 


Let me know if you want me to describe another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,48,0,"It distorts reality, bending light and perception to its will.  Its presence creates an uncanny distortion, making familiar things appear alien and unsettling. 


Let me know if you'd like me to describe another object! 😊",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,49,0,"This enigmatic anomaly distorts reality, bending light and perception around itself.  Its presence is felt as a creeping unease, a sense that something is fundamentally wrong with the very fabric of existence.  


Let me know if you'd like more details about it!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,50,0,"This mysterious artifact is a window into a warped reality, showcasing distorted reflections and unpredictable distortions. Its touch can alter perception, leaving observers questioning the very fabric of their understanding.  


Let me know if you'd like another attempt at describing it!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,51,0,"This enigmatic anomaly warps reality, causing visual distortions and unpredictable shifts in perception. Its presence is felt as a creeping unease, a subtle dissonance that unravels the fabric of normalcy.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,52,0,"This anomaly manifests as a shimmering distortion in reality, bending light and warping perception.  Within its chaotic field, familiar objects take on impossible forms and time itself seems to fracture. 


Let me know if you want more descriptions or have other creative writing tasks!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,53,0,"It's a celestial anomaly, a distortion of light that creates a visual illusion. This phenomenon, caused by the movement of its observer, reveals the true nature of the universe's vastness.


Let me know if you'd like to explore other celestial objects or concepts!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,54,0,"This celestial marvel appears as a shimmering, ghostly distortion in the night sky, defying the laws of physics. It offers a glimpse into the past, showcasing light warped by the immense gravity of a distant celestial body. 


Let me know if you'd like me to describe another astronomical object! 🌌",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,55,0,"This peculiar artifact, housed within a secure facility, is said to warp the very fabric of reality around it.  Its presence can cause unsettling distortions, bending time and space in unpredictable ways. 


Let me know if you'd like me to elaborate further!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,56,0,"This enigmatic object is a visual distortion of light, caused by the movement of our galaxy through space.  It creates a shimmering, colorful halo around celestial bodies, a testament to the immense scale and dynamic nature of the universe. 


Let me know if you want to try another riddle!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,57,0,"This celestial anomaly bends the fabric of space and time, causing light to travel in unexpected paths.  Its presence distorts our perception of distant objects, making them appear shifted and ephemeral.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,58,0,"This cosmic anomaly distorts light in a peculiar way, causing distant objects to appear shifted from their true positions. Its presence is only noticeable when observing celestial bodies at the edge of our field of view. 


Let me know if you'd like another riddle!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,59,0,"This enigmatic artifact distorts reality, causing visions and altering perception.  Its presence warps the very fabric of space-time, creating pockets of unpredictable chaos. 


Let me know if you want me to describe something else!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,60,0,"It distorts perceptions, bending light and reality itself.  Its presence can cause objects to appear in unexpected locations or with altered forms. 


Let me know if you want more clues!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,61,0,"This object is a cosmic marvel, a celestial lens that distorts the light from distant galaxies. Its influence reveals secrets of the universe's expansion and the intricate dance of gravity.  


Let me know if you'd like another description!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,62,0,"This peculiar anomaly causes objects to appear in unexpected locations, warping the very fabric of reality. Its influence can be felt as a distortion, a shimmering haze that obscures the true nature of things.  


Let me know if you'd like another attempt at describing it!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,63,0,"This unsettling entity bends reality around itself, warping perceptions and twisting the very fabric of space-time.  Its existence is a paradox, both alluring and terrifying, forever dancing on the edge of comprehension.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,64,0,"This enigmatic entity possesses the power to distort reality, causing perceptions to shift and truth to become elusive.  Its presence leaves a trail of confusion and disorientation, warping the very fabric of existence.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,65,0,"This strange entity warps reality around itself, causing distortions and unexpected consequences for those who encounter it.  Its very existence seems to defy the laws of nature, leaving observers bewildered and afraid.  


Let me know if you'd like another try at describing it!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,66,0,"This unsettling anomaly manifests as a shimmering distortion of space-time, warping the very fabric of reality around it.  Its presence often heralds chaos and unpredictable consequences, leaving those who encounter it forever changed. 


Let me know if you'd like me to describe another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,67,0,"This celestial anomaly causes light to bend and twist, creating an illusion of objects being in different places than they truly are.  It is a consequence of gravity's influence on the fabric of space-time. 


Let me know if you'd like me to describe another astronomical phenomenon!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,68,0,"This celestial anomaly warps the very fabric of reality, causing distant objects to appear in unexpected locations and shimmering with an otherworldly glow.  Its influence extends across vast distances, creating a distorted reflection of the cosmos for those unfortunate enough to be caught within its grasp.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,69,0,"This enigmatic object, a swirling mass of vibrant energy and shifting light, defies easy categorization.  Its unpredictable movements and strange gravitational influence make it both fascinating and terrifying to observe. 


Let me know if you'd like me to describe another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,70,0,"This anomaly is a swirling, multicolored mass that distorts reality around it.  Its presence can cause visual and auditory hallucinations, making it both mesmerizing and terrifying.  


Let me know if you'd like me to try describing another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,71,0,"This enigmatic artifact, often shrouded in mystery, distorts perception and reality itself. Its touch can leave a lingering sense of unease and a profound alteration in one's understanding of the world.  


Let me know if you want to explore more about this object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,72,0,"This celestial anomaly, invisible to the naked eye, causes a distortion of light from distant objects, making them appear slightly displaced from their true position.  It is a fascinating phenomenon that provides astronomers with valuable insights into the structure and composition of our universe.


Let me know if you want another try at this!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,73,0,"This enigmatic entity distorts reality, bending light and perception to its will. Its presence creates anomalies and illusions, leaving observers questioning their own senses.  


Let me know if you'd like me to describe another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,74,0,"This celestial phenomenon causes the apparent shift in the position of distant objects, like stars, as viewed from Earth.  Its influence stems from the unique orbital motion of our planet and its speed through space.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,75,0,"This cosmic anomaly throws off our perception of reality, causing celestial bodies to appear in unexpected locations. Its influence is subtle yet profound, distorting the very fabric of space-time.  


Let me know if you'd like another attempt at describing it!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,76,0,"This celestial anomaly appears as a shimmering, fluctuating distortion in the fabric of space-time. Its unpredictable nature and unsettling presence have captivated and terrified astronomers for centuries.  


Let me know if you'd like another try!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,77,0,"This celestial anomaly causes a noticeable shift in the apparent position of distant stars, making them appear to dance across the sky.  Its effects are most prominent when observing objects at the horizon, distorting their true location. 


Let me know if you'd like another description! 😊",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,78,0,"This entity warps reality around it, distorting perception and leaving behind a lingering sense of unease. Its presence is marked by fractured images and impossible geometry, a testament to its power over the very fabric of existence.  


Let me know if you'd like me to describe something else!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,79,0,"This object is a visual distortion caused by the movement of the observer through space, making distant objects appear to shift position. It's a common phenomenon observed in astronomy, especially when viewing stars.  


Let me know if you'd like me to describe another celestial phenomenon!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,80,0,"This enigmatic artifact distorts reality itself, warping perceptions and twisting the fabric of space-time. Its presence creates ripples that can fracture memories and unravel the very essence of existence.  


Let me know if you'd like another attempt or want to try a different object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,81,0,"This peculiar artifact, resembling a broken mirror, distorts the very fabric of reality around it.  Gazing into its fractured surface reveals glimpses of alternate timelines and impossible geometries, leaving those who dare to look forever changed.  


Let me know if you want me to describe something else!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,82,0,"This peculiar anomaly distorts reality, bending light and perception in unpredictable ways. Its presence can cause confusion and disorientation, leaving observers questioning their own sanity.  


Let me know if you want to try another riddle!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,83,0,"This object is a visual phenomenon caused by the difference between light traveling through space and light passing through the Earth's atmosphere.  Its effect can make distant stars appear to shift their position slightly throughout the night, depending on the observer's location and the time of year. 


Let me know if you'd like another description or have any other questions!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,84,0,"This celestial anomaly distorts the light from distant objects, causing them to appear in unexpected places.  Its influence is most noticeable when observing stars and quasars, leading to a shimmering effect that betrays its presence. 


Let me know if you want me to describe another object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,85,0,"It is a spectral anomaly, a shimmering distortion that bends light and warps perception.  Its presence disrupts reality, creating unsettling visions and fracturing the fabric of space-time. 


Let me know if you'd like me to describe it in more detail!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,86,0,"This celestial anomaly causes a distortion of light, making distant objects appear shifted from their true positions.  Its effects are most noticeable when observing stars near the horizon.


Let me know if you'd like another attempt at describing it!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,87,0,"This celestial anomaly appears as a distorted reflection of the cosmos, a shimmering mirage that warps and bends the very fabric of reality. It pulsates with an otherworldly energy, drawing observers into its mesmerizing depths while threatening to unravel the threads of existence.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,88,0,"This strange entity defies categorization, existing as a shimmering anomaly that warps the very fabric of reality around it.  Its presence is both captivating and terrifying, promising glimpses of other dimensions while threatening to unravel our own.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,89,0,"This enigmatic entity exists outside of typical reality, distorting perception and manipulating the very fabric of existence.  Its presence is marked by unsettling shifts and a sense of profound unease, leaving those who encounter it forever changed. 


Let me know if you'd like me to try describing something else!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,90,0,"This celestial phenomenon distorts our view of distant stars, causing them to appear in different positions than they actually are. It arises from the unique motion of Earth around the Sun, leading to a slight shift in our perspective of the cosmos.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,91,0,"This enigmatic artifact, appearing as a swirling vortex of distorted light and impossible geometry, holds the power to warp perceptions and bend reality itself.  Its touch can unlock hidden knowledge, but at a terrible cost, twisting the mind and fracturing sanity.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,92,0,"This enigmatic artifact distorts reality, creating pockets of altered space-time where known laws of physics bend and break. Its presence ripples through existence, leaving behind echoes of fractured perceptions and unsettling anomalies.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,93,0,"This anomaly distorts reality, warping the very fabric of perception. Its presence creates a disorienting and unsettling experience, leaving observers questioning their own sanity.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,94,0,"This celestial anomaly throws light in a peculiar way, distorting the apparent positions of distant objects. Its influence can be observed as a shimmering, rainbow-like halo around stars, especially during certain times of the year.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,95,0,"This enigmatic item distorts reality around its wielder, bending light and perception to their will. Its power is both alluring and dangerous, promising unimaginable control but threatening to unravel the very fabric of existence. 


Let me know if you'd like to explore other aspects of this object!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,96,0,"This anomaly warps reality, causing light to bend and colors to shift in unpredictable ways. Its presence can be unsettling, leaving observers disoriented and questioning their own senses.  


Let me know if you want to try another riddle!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,97,0,"This celestial oddity appears as a shimmering, distorted lens through which reality itself seems to bend. Its presence warps the fabric of space-time, causing light to dance and shift in unpredictable ways.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,98,0,"This enigmatic entity distorts reality, leaving those who encounter it questioning their own perceptions.  Its presence warps the very fabric of existence, twisting and turning the familiar into something unsettlingly unfamiliar.  


Let me know if you'd like me to describe another SCP!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,99,0,"This celestial anomaly distorts light from distant objects, creating a shimmering spectacle in the night sky.  Its presence, though seemingly harmless, can reveal hidden secrets about the fabric of space-time. 


Let me know if you'd like another riddle!",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,100,0,"This celestial anomaly distorts light passing through it, creating a visual spectacle of distorted and multiplied stars.  Its presence can be detected by the apparent shifts in the positions of distant objects as observed from Earth.",Aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,1,1,Its gravitational pull distorts the view of deep space.,gravitational lens
gemma-2-9b-it,Low-Freq Abstract,Aberration,2,1,"It warps reality, causing illusions, temporal shifts, and mental instability.",glitch
gemma-2-9b-it,Low-Freq Abstract,Aberration,3,1,The movement of Earth changes how we see very far away things.,aberration
gemma-2-9b-it,Low-Freq Abstract,Aberration,4,1,"It bends the world, causing unexpected changes and messing with how we see space and time. 

Let me know if you'd like me to describe another object!",blackhole
gemma-2-9b-it,Low-Freq Abstract,Aberration,5,1,"A space oddity warps sight, magnifying and altering things beyond.",gravitationallens
gemma-2-9b-it,Low-Freq Abstract,Aberration,6,1,"The world is twisted and wrong, with things in impossible places. It breaks the rules of how things work and can hold people captive within its changing limits.",anomaly
gemma-2-9b-it,Low-Freq Abstract,Aberration,7,1,"A glowing, shimmering distortion bends reality, confusing anyone who looks at it.",mirror
gemma-2-9b-it,Low-Freq Abstract,Aberration,8,1,"A glowing lens alters perception and warps time and space, exposing secrets and unsettling possibilities.",lens
gemma-2-9b-it,Low-Freq Abstract,Aberration,9,1,"It manipulates truth, causing confusion and instability in all it encounters.",nightmare
gemma-2-9b-it,Low-Freq Abstract,Aberration,10,1,A space-time distorter with unpredictable effects on stars and planets.,blackhole
gemma-2-9b-it,Low-Freq Abstract,Aberration,11,1,"Its passage twists reality, creating anomalies and unsettling occurrences.  It leaves behind a feeling of unease and profound wrongness.",glitch
gemma-2-9b-it,Low-Freq Abstract,Aberration,12,1,"This unsettling artifact bends reality, inspiring fear and suggesting unimaginable cosmic terrors.",artifact
gemma-2-9b-it,Low-Freq Abstract,Aberration,13,1,"This beautiful gem shimmers with a mesmerizing light. However, its splendor conceals a perilous truth. Its contact can warp reality, altering how things appear and threatening to dismantle the nature of being.",gem
gemma-2-9b-it,Low-Freq Abstract,Aberration,14,1,"This strange thing warps space-time, making stars seem misplaced.  It challenges our knowledge of the cosmos.",blackhole
gemma-2-9b-it,Low-Freq Abstract,Aberration,15,1,A warped image that distorts vision and reality.,glitch
gemma-2-9b-it,Low-Freq Abstract,Aberration,16,1,"It bends reality, causing confusion and strange shifts. It tears at the universe, leaving mental anguish and broken realities.",anomaly
gemma-2-9b-it,Low-Freq Abstract,Aberration,17,1,"It warps perception, creating illusions that can be dangerous.",glitch
gemma-2-9b-it,Low-Freq Abstract,Aberration,18,1,"Its existence twists space and time, causing strange sights and confusing events.",blackhole
gemma-2-9b-it,Low-Freq Abstract,Aberration,19,1,"The mysterious object warps sight and truth. It generates an unsteady mist, showing fragments of unreal shapes and broken time.",mirror
gemma-2-9b-it,Low-Freq Abstract,Aberration,20,1,"It bends light, causing a sparkling illusion that makes faraway things seem to move erratically. It's seen best at the horizon.",mirage
gemma-2-9b-it,Low-Freq Abstract,Aberration,21,1,"The object warps reality, changing how people see and blurring the line between truth and illusion.",lens
gemma-2-9b-it,Low-Freq Abstract,Aberration,22,1,"Moving vision tricks the eye, making stars seem to move.",starlight
gemma-2-9b-it,Low-Freq Abstract,Aberration,23,1,"This instrument alters perception, twisting truth. Its potential for understanding can corrupt, often resulting in chaos and ruin. 


Let me know if you want to try again!",mirror
gemma-2-9b-it,Low-Freq Abstract,Aberration,24,1,"It twists the known into something uncanny and disturbing.  Its allure is a mix of fascination and fear, causing viewers to doubt what they see.",illusion
gemma-2-9b-it,Low-Freq Abstract,Aberration,25,1,"A glowing, many-sided gem bends light, producing spectacular yet confusing images.  Possessing it lets you see other worlds, but the price of that insight could be high.",prism
gemma-2-9b-it,Low-Freq Abstract,Aberration,26,1,"It warps reality, causing confusion and strange remnants.  Its presence twists time and space.",glitch
gemma-2-9b-it,Low-Freq Abstract,Aberration,27,1,"The artifact distorts the world for the one who possesses it, manipulating vision and truth. Its abilities are powerful and dangerous, offering great strength but risking destruction.",artifact
gemma-2-9b-it,Low-Freq Abstract,Aberration,28,1,"It warps reality, messing with how things look and feel. Being near it makes you uncomfortable, like something is wrong that you can't quite put your finger on.",entity
